vendor	name	url	enable_proxy	description	more_info	subjects	content_id
Choice, Inc.	Choice Reviews Online	http://aus.idm.oclc.org/login?url=http://www.choicereviews.org/	1	Since its founding as a monthly collection of recommended titles more than 50 years ago, Choice has become the go-to source for librarians seeking worthwhile new titles for their collection. The publication offers 600 reviews every month, identifying the best new books and digital content in academia.		 Library Tools	39631190
Chronicle of Higher Education, The	Chronicle of Higher Education	http://aus.idm.oclc.org/login?url=http://chronicle.com/	1	The Chronicle of Higher Education is the No. 1 source of news, information, and jobs for college and university faculty members and administrators.		 Library Tools; Education	12104712
Chronicle of Higher Education, The	Chronicle of Higher Education Special Reports	http://aus.idm.oclc.org/login?url=http://www.chronicle.com	1	The Chronicle of Higher Education is the No. 1 source of news, information, and jobs for college and university faculty members and administrators.			
Dar Al Hikma	Dar Al Hikma Print Journals- A7U		1	Print periodicals purchased from Dar Al Hikma (local UAE vendor).			
EBSCOhost	Academic Search Complete	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=a9h	1	Previously known as "Academic Search Premier". Academic Search Complete is an excellent source of scholarly journals in all academic disciplines. This multi-disciplinary database from EbscoHost covers engineering, language and linguistics, education, history, arts and literature, biology, chemistry, engineering, physics, psychology, religion and theology.		 Academic-General	12104682
EBSCOhost	Arab World Research Source	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=awr	1	Arab World Research Source is a dedicated resource of scholarly journals, quality magazines, trade publications, industry profiles, country reports, market research reports and conference papers related to the Arab World. This resource reaches across all major subject disciplines, including business, economics, science, technology, humanities and sociology. The database contains more than 140 scholarly full text titles, with the majority of the journals featuring Arabic full text.		 Arabic and Middle Eastern Studies; Academic-General; United Arab Emirates	12104827
EBSCOhost	Art & Architecture Source	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=asu	1	Previously known as "Art Source". Covers a broad range of related subjects from fine, decorative and commercial art, to various areas of architecture and architectural design. Full text and detailed indexing and abstracts for many leading academic journals, magazines and trade publications. Strong international coverage, including periodicals published in French, Italian, German, Spanish and Dutch.		 Architecture, Art and Design	12104809
EBSCO Host	Avery Architecture Index	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bvh	1	[Abstract-only] Indexes international journals in architecture, interior design, city planning, archaeology, and historic preservation. The index covers international, scholarly and popular periodical literature, including publications of professional associations, U.S. state and regional periodicals, and major serial publications on the architecture and design of Europe, Asia, Latin America and Australia.		 Architecture, Art and Design	12104687
EBSCOhost	Business Source Complete	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=bth	1	Previously known as "Business Source Premier". Designed specifically for business schools and libraries, contains full text scholarly journals and business periodicals covering management, economics, finance, and international business. Additional full text, non-journal content includes market research reports, industry reports, country reports, company profiles and SWOT analyses.		 Business and Management; Marketing and Advertising; Economics	12104688
EBSCOhost	Communication and Mass Media Complete	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=ufh	1	Offers coverage of journal titles in areas related to communication and mass media. Major areas of coverage include: Communications, Mass Media, Journalism, Television, Radio, Newspaper Publishing, Speech, Broadcasting, Communication Theory and Advertising.		 Mass Communication; Social Sciences; TESOL and Translation; Marketing and Advertising	12104689
EBSCOhost	Green FILE	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=8gh	1	GreenFILE offers well-researched information covering all aspects of human impact to the environment. Its collection of scholarly, government and general-interest titles includes content on global warming, green building, pollution, sustainable agriculture, renewable energy, recycling, and more. The database provides indexing and abstracts for more than 384,000 records, as well as Open Access full text for more than 4,700 records.			
EBSCOhost	LISTA: Library, Information Science and Technology Abstracts with Full Text	http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=lih	1	[Abstract-only] Library, Information Science & Technology Abstracts,(LISTA) indexes periodicals, plus books, research reports and proceedings. Subject coverage includes librarianship, classification, cataloging, bibliometrics, online information retrieval, information management and more. Coverage in the database extends back as far as the mid-1960s.		 Library Tools; Computer Science and Computer Engineering	12104726
EBSCOhost	PsycARTICLES	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=pdh	1	PsycARTICLES offers the full text of more than 100 journals in behavioral science and related fields, including all American Psychological Association (APA) published journals plus those from the Canadian Psychological Association and English-language journals from Hogrefe Publishing Group. Complete coverage of all subject areas relevant to psychological science.		 Psychology	12104820
EBSCO Host	PsycINFO	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?profile=psyh	1	[Abstract-only] The PsycINFO database, American Psychological Association's (APA) renowned resource for abstracts of scholarly journal articles, book chapters, books, and dissertations, is the largest resource devoted to peer-reviewed literature in behavioral science and mental health.		 Psychology	12104719
EBSCOhost	Regional Business News	http://aus.idm.oclc.org/login?url=http://search.ebscohost.com/login.asp?authtype=ip,uid&profile=ehost&defaultdb=bwh	1	This database provides comprehensive full text coverage for regional business publications. Regional Business News incorporates coverage of more than 80 regional business publications covering all metropolitan and rural areas within the United States.		 Business and Management; News	12104700
Economist Intelligence Unit	Economist Intelligence Unit (EIU)	http://aus.idm.oclc.org/login?url=http://www.eiu.com/	1	The EIU database provides the Country Report for the UAE with in-depth analysis of political and economic trends. Also includes the latest analysis from ViewsWire and historic (1996-2008) Country Profiles for Bahrain, Egypt, India, Iran, Iraq, Jordan, Kuwait, Lebanon, Oman, Qatar, Saudi Arabia, Syria, Turkey, United Arab Emirates and Yemen.		 Business and Management; Economics	12104720
Edinburgh University Press	Edinburgh University Press	http://aus.idm.oclc.org/login?url=http://www.eup.ed.ac.uk/	1	Edinburgh University Press is one of the leading university presses in the UK. They publish books and journals across a range of subject areas in the humanities and social sciences.			
Educause	Educause	http://www.educause.edu	0	EDUCAUSE is a higher education technology association and the largest community of IT leaders and professionals committed to advancing higher education. EDUCAUSE programs and resources include professional development activities; print and electronic publications, including books, and EDUCAUSE Review, our flagship magazine; advocacy; teaching and learning initiatives; data, research, and analytics; special interest communities; awards; and extensive online information services. AUS members can create a personal account to access features like the EDUCAUSE Learning Initiative (ELI) and the EDUCAUSE Center for Analysis and Research (ECAR) Resources.		 Education	36318641
Edward Elgar Publishing	Elgar Business 2017	http://aus.idm.oclc.org/login?url=http://www.elgaronline.com/browse	1	Edward Elgar Publishing is a leading international academic and professional publisher with a strong focus on the social sciences and legal fields.			
Edward Elgar Publishing	Elgar Business 2018	http://aus.idm.oclc.org/login?url=http://www.elgaronline.com/browse	1	Edward Elgar Publishing is a leading international academic and professional publisher with a strong focus on the social sciences and legal fields.			
Edward Elgar Publishing	Elgar Economics 2017	http://aus.idm.oclc.org/login?url=http://www.elgaronline.com/browse	1	Edward Elgar Publishing is a leading international academic and professional publisher with a strong focus on the social sciences and legal fields.			
