vendor	name	url	enable_proxy	description	more_info	subjects	content_id
JSTOR	JSTOR	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.		 Academic-General; Architecture, Art and Design; Language and Literature; Performing Arts; Social Sciences	12104695
JSTOR	Books at JSTOR Demand Driven Acquisitions	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	Books at JSTOR offers more than 45,000 ebooks from renowned scholarly publishers, integrated with journals and primary sources on JSTOR's easy-to-use platform. All titles offered in Books at JSTOR are available exclusively in a DRM-free, unlimited-user model. The ebooks work just like the journals on JSTOR, with unlimited simultaneous use, downloads, and printing, and no need to log in or use special software.			
JSTOR	Books at JSTOR All Purchased	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	Books at JSTOR offers more than 45,000 ebooks from renowned scholarly publishers, integrated with journals and primary sources on JSTOR's easy-to-use platform. All titles offered in Books at JSTOR are available exclusively in a DRM-free, unlimited-user model. The ebooks work just like the journals on JSTOR, with unlimited simultaneous use, downloads, and printing, and no need to log in or use special software.			
Lexis Nexis	Lexis-Nexis: Academic Universe	http://aus.idm.oclc.org/login?url=http://web.lexis-nexis.com/universe	1	An interdisciplinary, full-text database including newspapers, journals, wire services, newsletters, company reports and SEC filings, case law, government documents, transcripts of broadcasts, and selected reference works. Provides links to information sources in news, business, legal, medical, and general reference.		 Academic-General; Business and Management; News	12104696
Library of Congress	Library of Congress Classification Web	https://classificationweb.net/Menu/index.html	0	Publishes and distributes many of the Library of Congress cataloging records and cataloging-related tools and resources. Whether you need web-based cataloging tools or cataloging records in various formats, the Cataloging Distribution Service (CDS) provides the most current and authoritative bibliographic resources produced by the Library of Congress.			
American Mathematical Society	MathSciNet	http://aus.idm.oclc.org/login?url=http://www.ams.org/mathscinet/index.html	1	[Abstract-only] Offers reviews, abstracts and bibliographic information for much of the mathematical sciences literature dating back to the early 1800s.		 Mathematics; Statistics	12104727
Oxford University Press	Max Planck Encyclopedia of Public International Law	http://aus.idm.oclc.org/login?url=http://opil.ouplaw.com/home/epil	1	The Max Planck Encyclopedia of Public International Law (MPEPIL) is a comprehensive online resource containing over 1600 peer-reviewed articles on every aspect of public international law. Published in partnership with the Max Planck Institute for Comparative Public Law and International Law.		 Political Science; Social Sciences	37116013
McGraw-Hill	McGraw-Hill AccessScience	http://aus.idm.oclc.org/login?url=http://www.accessscience.com/	1	This online encyclopedia gives access to all the articles, fully illustrated, from the latest edition of the McGraw-Hill Encyclopedia of Science & Technology, Research Updates from the McGraw-Hill Yearbooks, thousands of illustrations, and the latest Science News® headlines, biographies, and more.		 Sciences; Engineering	12104683
Middle East Economic Digest (MEED)	Middle East Economic Digest (MEED)	http://aus.idm.oclc.org/login?url=https://www.meed.com	1	Unrivalled coverage of Middle East and North African projects news, data and analysis.			
National Bureau of Economic Research	National Bureau of Economic Research (NBER)	http://aus.idm.oclc.org/login?url=http://www.nber.org/	1	Access to the initial reports and findings of scientific papers from the National Bureau of Economic Research. Reports concentrate on four types of empirical research: developing new statistical measurements, estimating quantitative models of economic behavior, assessing the economic effects of public policies, and projecting the effects of alternative policy proposals.		 Economics	12104698
Naxos Digital Services Ltd	Naxos Music Library	http://aus.idm.oclc.org/login?url=http://aus.naxosmusiclibrary.com/	1	Naxos Music Library is the world's largest online classical music library. The library offers the complete Naxos and Marco Polo catalogues plus the complete catalogues or selected titles from classical, jazz and world music labels with more labels joining every month. Classic pop and rock music as well as Chinese orchestral music are also represented.		 Performing Arts	12104810
OCLC Online Computer Library Center Inc.	OCLC ILLiad - A7U	https://illiad.aus.edu/illiad	0	Articles and books not found in the library collection may be obtained through interlibrary loan (ILL). This service is currently restricted to faculty, staff, graduate students and undergraduates working on a senior thesis. ILLiad is our automated Interlibrary Loan system.			
OCLC Online Computer Library Center Inc.	OCLC WMS - A7U	https://aus.share.worldcat.org/wms/cmnd/	0	WorldShare Management Services (WMS) is a complete, cloud-based library management system that offers all the applications needed to manage a library, including Acquisitions, Circulation, Metadata, Resource Sharing, License Management and a single-search Discovery interface for library users.			
OCLC Online Computer Library Center Inc.	OCLC WMS - A7U	https://aus.share.worldcat.org/wms/cmnd/	0	WorldShare Management Services (WMS) is a complete, cloud-based library management system that offers all the applications needed to manage a library, including Acquisitions, Circulation, Metadata, Resource Sharing, License Management and a single-search Discovery interface for library users.			
Gale Group	Opposing Viewpoints in Context	http://aus.idm.oclc.org/login?url=http://infotrac.galegroup.com/itweb/971sharjah?db=OVIC	1	Opposing Viewpoints in Context is a one-stop source for information on today's hottest social issues. Opposing Viewpoints features viewpoint articles, topic overviews, full-text magazine, academic journal, and newspaper articles, primary source documents, statistics, images and podcasts, and links to Websites.		 Academic-General; Social Sciences	12104693
Oryx Solutions	Get It Now	http://www.copyright.com/academia/get-it-now/	0	Get It Now complements your interlibrary loan (ILL) services by providing library patrons with the immediate fulfillment of full-text articles from unsubscribed journals — 24 hours a day, 7 days a week — through a cost-effective and easy-to-use service integrated into your ILL workflow and/or OpenURL link resolver.			
Oxford University Press	Oxford Dictionaries Online - Arabic	http://aus.idm.oclc.org/login?url=https://premium.oxforddictionaries.com/arabic/	1	Arabic Oxford Dictionaries is a dictionary of Modern Standard Arabic and English. The dictionary focuses on language as it's used today. Regular content updates ensure that the dictionary remains up-to-date.		 Arabic and Middle Eastern Studies; TESOL and Translation	19951636
Oxford University Press	Oxford University Press Journals Online	http://aus.idm.oclc.org/login?url=https://academic.oup.com/journals	1	Oxford University Press (OUP) publishes the highest quality journals and delivers this research to the widest possible audience. We achieve this by working closely with our society partners, authors, and subscribers in order to provide them with publishing services that support their research needs.			
Oxford University Press	Oxford Music Online	http://aus.idm.oclc.org/login?url=http://www.oxfordmusiconline.com/	1	Oxford Music Online provides comprehensive and authoritative coverage of all aspects of music worldwide, from its early beginnings to the present day. Includes access to multiple music reference resources including Grove Music Online, the Oxford Companion to Music (revised 2011), and the Oxford Dictionary of Music, 2nd edition (revised 2006), which supplements Grove's more-extensive articles.		 Performing Arts	12104764
Oxford University Press	Oxford English Dictionary	http://aus.idm.oclc.org/login?url=http://www.oed.com	1	Authoritative and comprehensive record of the English language, tracing the evolution and use of words. Guide to the meaning, history, and pronunciation of 600,000 words— past and present—from across the English-speaking world.		 Academic-General; Language and Literature	12104828
Oxford University Press	Oxford Art Online	http://aus.idm.oclc.org/login?url=http://www.oxfordartonline.com/	1	Oxford Art Online offers the ability to access and search the vast content of Grove Art Online and other Oxford art reference in one location. Users can also choose to view biographies, subject entries, or images when searching or browsing.		 Architecture, Art and Design	12104715
ProQuest	Pivot	https://pivot.cos.com/	0	Comprehensive global source of funding opportunities, covering over 11,500 sponsors both national and international. You must login to use Pivot. First time users, go to Sign up and enter your details. You must register with your AUS email and select American University of Sharjah as the Affliated Membership institution. Provided by the Office of Research and Graduate Studies.		 Library Tools	40974997
Project Muse	Project Muse All Journals	http://aus.idm.oclc.org/login?url=http://muse.jhu.edu/browse	1	Project MUSE is a leading provider of digital humanities and social science content for the scholarly community.			
Project Muse	Project Muse 2016 Language and Linguistics	http://aus.idm.oclc.org/login?url=https://muse.jhu.edu/browse/	1	Project MUSE is a leading provider of digital humanities and social science content for the scholarly community.			
Project Muse	Project Muse ebooks - A7U	http://aus.idm.oclc.org/login?url=http://muse.jhu.edu/browse/titles/all?browse_view_type=list&limit_content_type=book	1	All Project Muse ebooks owned by the American University of Sharjah.			
Project Muse	Project Muse 2017 Global Cultural Studies	http://aus.idm.oclc.org/login?url=https://muse.jhu.edu/browse/	1	Project MUSE is a leading provider of digital humanities and social science content for the scholarly community.			
Project Muse	Project Muse 2017 Language and Linguistics	http://aus.idm.oclc.org/login?url=https://muse.jhu.edu/browse/	1	Project MUSE is a leading provider of digital humanities and social science content for the scholarly community.			
Project Muse	Project Muse 2016 Global Cultural Studies	http://aus.idm.oclc.org/login?url=https://muse.jhu.edu/browse/	1	Project MUSE is a leading provider of digital humanities and social science content for the scholarly community.			
ProQuest	ABI/INFORM Global	http://aus.idm.oclc.org/login?url=https://search.proquest.com/abiglobal/advanced?accountid=16946	1	ABI/INFORM is a comprehensive business database covering business & economic conditions, corporate strategies, management techniques, as well as competitive and product information. Its international coverage gives researchers a complete picture of companies and business trends around the world.		 Business and Management; Marketing and Advertising; Economics	12104741
ProQuest	ProQuest Middle East & Africa Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/middleeastafrica/advanced/accountid=16946	1	This database provides ongoing full-text academic journals that are locally published by scholarly publishing organizations and educational institutions in many Middle Eastern and African countries. Major subject areas of study are represented, including business, science, technology, engineering, social sciences, education, and humanities.		 Arabic and Middle Eastern Studies	36998881
ProQuest	ProQuest Linguistics Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/linguistics/advanced/accountid=16946	1	Full-text database with scholarly journal articles and other sources covering all aspects of the study of language including phonetics, phonology, morphology, syntax and semantics.		 Language and Literature; TESOL and Translation	36998878
ProQuest	ProQuest Career and Technical Education Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/career/advanced?accountid=16946	1	Vocational and technical periodicals covering all aspects of the Vo/Tech curriculum. Access the database to research virtually any career, including computer science, health care, accounting, graphic design, photography, and nursing.		 Education; Computer Science and Computer Engineering; Architecture, Art and Design	12104746
ProQuest	ProQuest Asian & European Business Collection	http://aus.idm.oclc.org/login?url=https://search.proquest.com/asianeuropeanbusiness/advanced?accountid=16946	1	This database provides information pertinent to the study of business and finance topics across Asia and Europe, including academic journals, newspapers, newswires, and magazines. Find information on companies, economies, markets, international trade, and overall business conditions and practices throughout these regions.		 Business and Management	12104744
ProQuest	ProQuest India Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/indianjournals/advanced/accountid=16946	1	This database is a comprehensive, multidisciplinary resource of full-text, scholarly journals published in India, supporting many subjects, including business, medicine, science, technology, social sciences and humanities.		 Political Science; News	36998720
ProQuest	ProQuest Turkey Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/turkey/advanced/accountid=16946	1	This database includes ongoing full-text academic journals that are locally published in Turkey. The subjects cover major areas of study, including business, science, technology, engineering, social sciences, education, and humanities.		 Political Science; News	36999090
ProQuest	ProQuest US Newsstream	http://aus.idm.oclc.org/login?url=https://search.proquest.com/usnews/advanced/accountid=16946	1	US Newsstream enables users to search the most recent premium U.S. news content, as well as archives which stretch back into the 1980s featuring top newspapers, newswires, blogs, and news sites in active full-text format.		 News	36999115
ProQuest	ProQuest Sociology Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/sociology/advanced/accountid=16946	1	Sociology Database covers the international literature of sociology and social work, including relevant titles from related fields such as social policy, social care, social services, social anthropology, gender studies, gerontology, social psychology and population studies. It includes hundreds of full-text scholarly journals, as well as dissertations and other sources.		 Social Sciences	36999042
ProQuest	ProQuest Arts & Humanities Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/artshumanities/advanced?accountid=16946	1	Titles include both scholarly peer-reviewed journals and selected trade and consumer titles relevant to applied arts and cultural studies. This database covers a variety of subjects: Art, Design, Crafts, Photography, Archaeology, Anthropology, Classical Studies, Architecture, Interior Design, Urban Planning, History, Philosophy, Geography, Religion, Modern Languages, Literature, Music, Theatre, Film, Cultural Studies, Ethnic and Area Studies, Politics, Economics and Women's Studies.		 Social Sciences; Architecture, Art and Design; Language and Literature; Performing Arts	36998709
ProQuest	ProQuest Biology Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/biologyjournals/advanced?accountid=16946	1	This database provides access to a wide range of biology topics including some of the most popular information resources for users in academic, government and public research environments.		 Sciences	36998717
ProQuest	ProQuest Central	http://aus.idm.oclc.org/login?url=https://search.proquest.com/pqcentral/advanced	1	ProQuest Central is an extensive general reference resource, encompassing more than 160 subjects, with reliable and authoritative information from around the world. Content is aggregated from journals, newspapers, as well as from industry reports and company profiles.		 Academic-General	12104753
ProQuest	ProQuest Health & Medical Collection	http://aus.idm.oclc.org/login?url=https://search.proquest.com/healthcomplete/advanced?accountid=16946	1	Search periodicals on health subjects such as medical conditions, substance abuse, insurance, health policy, and more. Covers clinical and biomedical, consumer health, health administration.		 Sciences	12104752
ProQuest	ProQuest Computing Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/computing/advanced?accountid=16946	1	Whether you're an expert in the field or an undergraduate, ProQuest Computing delivers vital information directly to your desktop from scholarly journals and trade publications as well as consumer titles. The database includes product reviews, database design and management, software, hardware, e-commerce, Web site development, intranets and extranets, and technology management.		 Computer Science and Computer Engineering	12104747
ProQuest	ProQuest Psychology Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/psychology/advanced?accountid=16946	1	This database provides abstracts and indexing for more than 640 titles, with over 540 titles available in full text. Many titles are indexed in PsycINFO. Coverage ranges from behavioral, clinical, cognitive, developmental, experimental, industrial and social psychology, along with personality, psychobiology and psychometrics.		 Psychology	36999033
ProQuest	ProQuest Science Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/sciencejournals/advanced?accountid=16946	1	This database is a definitive resource for students studying both the applied and general sciences. Journals cover hundreds of topics relating to all major fields of study, including: Physics, Engineering, Astronomy, Biology, Earth Science, and Chemistry.		 Sciences; Engineering	12104755
ProQuest	ProQuest Telecommunications Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/telecomms/advanced?accountid=16946	1	This database includes ongoing full-text academic journals that are locally published in Turkey. The subjects cover major areas of study, including business, science, technology, engineering, social sciences, education, and humanities.		 Engineering	12104757
ProQuest	ProQuest Religion Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/religion/advanced/accountid=16946	1	Religion Database provides a wide range of primarily full-text periodicals and other sources for diverse religious and spiritual studies, covering formal theological studies and commentary on topics of general interest from the perspectives of many worldwide religions.		 Social Sciences	12104754
ProQuest	ProQuest International Newsstream	http://aus.idm.oclc.org/login?url=https://search.proquest.com/internationalnews1/advanced/fromDatabasesLayer?accountid=16946	1	International Newsstream provides the most recent news content outside of the US and Canada, with archives which stretch back decades featuring newspapers, newswires, and news sites in active full-text format. It provides information from more than 660 of the world's top newspapers, including The Times (London), The Bangkok Post, El Norte, Financial Times, The Guardian, Jerusalem Post, South China Morning Post, The Daily Telegraph, Asian Wall Street Journal, and the BBC Monitoring series of publications.		 News	36998723
ProQuest	ProQuest Social Science Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/sciencejournals/advanced/accountid=16946	1	Social Science Database offers indexing and full text for hundreds of academic journals, providing extensive coverage across a wide range of social science disciplines including Anthropology, Communication, Criminology, Economics, Education, Political Science, Psychology, Social Work, and Sociology.		 Social Sciences	12104756
ProQuest	ProQuest Accounting, Tax & Banking Collection	http://aus.idm.oclc.org/login?url=https://search.proquest.com/accounting/advanced/accountid=16946	1	This database brings together global scholarly journals with other key resources for access to reliable information in this continuously evolving area of study. Quickly locate precise results from sources ranging from current news to professional and academic journal articles covering the trends and history influencing important accounting, tax, banking, and financial issues of the day.		 Business and Management	12104742
ProQuest	ProQuest Education Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/education/advanced?accountid=16946	1	Education Database supports the study and application of education across all levels of education, including early childhood education, primary and secondary education, and higher education. The database supports global study and research, including thousands of full-text journals, dissertations and other relevant sources.		 Education; TESOL and Translation	12104750
ProQuest	ProQuest Political Science Database	http://aus.idm.oclc.org/login?url=https://search.proquest.com/politicalscience/advanced/accountid=16946	1	Political Science Database gives users access to hundreds of leading political science, public policy, and international relations journals. It also includes thousands of recent full-text doctoral dissertations on political science topics, together with working papers, conference proceedings, country reports, policy papers and other sources.		 Political Science	36999028
ProQuest	ProQuest Global Breaking Newswires	http://aus.idm.oclc.org/login?url=https://search.proquest.com/globalwires/advanced/accountid=16946	1	Global Breaking Newswires is the premier library news product providing timely access to the best newswire content available from around the globe for the modern researcher as well as growing archive of news indexed and accessible through the familiar & popular research functionality of the ProQuest platform.		 News	36998718
ProQuest	ProQuest Dissertations & Theses	http://aus.idm.oclc.org/login?url=https://search.proquest.com/pqdtft/advanced	1	ProQuest Dissertations and Theses is the world's most comprehensive collection of dissertations and theses. Each dissertation published since July 1980 includes a 350-word abstract written by the author. Master's theses published since 1988 include 150-word abstracts. Simple bibliographic citations are available for dissertations dating from 1637. Abstracts are provided in English providing greater discoverability of foreign language works.		 Academic-General	12104766
ProQuest Ebook Central	ProQuest Ebook Central Perpetual Titles	http://aus.idm.oclc.org/login?url=https://ebookcentral.proquest.com/lib/aus-ebooks/	1	ProQuest Ebook Central (formerly Ebrary) is a collection of thousands of online full text books in a variety of subject areas. Full text content can be viewed and searched online. You can browse ebooks by subject and search by keywords across the collection. Ebook Central covers academic disciplines including business and economics, computers, technology and engineering, humanities, life and physical science, and social and behavioral sciences.			
ProQuest Ebook Central	ProQuest Ebook Central DDA Titles	http://aus.idm.oclc.org/login?url=https://ebookcentral.proquest.com/lib/aus-ebooks/	1	ProQuest Ebook Central (formerly Ebrary) is a collection of thousands of online full text books in a variety of subject areas. Full text content can be viewed and searched online. You can browse ebooks by subject and search by keywords across the collection. Ebook Central covers academic disciplines including business and economics, computers, technology and engineering, humanities, life and physical science, and social and behavioral sciences.			
ProQuest Ebook Central	ProQuest Ebook Central	http://aus.idm.oclc.org/login?url=https://ebookcentral.proquest.com/lib/aus-ebooks/	1	ProQuest Ebook Central (formerly Ebrary) is a collection of thousands of online full text books in a variety of subject areas. Full text content can be viewed and searched online. You can browse ebooks by subject and search by keywords across the collection. Ebook Central covers academic disciplines including business and economics, computers, technology and engineering, humanities, life and physical science, and social and behavioral sciences.		 Academic-General	27838488
ProQuest	EconLit	http://aus.idm.oclc.org/login?url=https://search.proquest.com/econlit/advanced?accountid=16946	1	[Abstract-only] EconLit, published by the American Economic Association, provides bibliographic coverage of a wide range of economics-related literature. EconLit covers both economic theory and application.		 Economics	12104749
ProQuest	MLA International Bibliography	http://aus.idm.oclc.org/login?url=https://search.proquest.com/mlaib/advanced?accountid=16946	1	[Abstract-only] The MLA International Bibliography is a subject index that includes books (and chapters in books), journal articles, conference papers, and dissertations on criticism, drama, languages, linguistics, general and comparative literature and of all modern languages and literatures.		 Language and Literature; TESOL and Translation	12104697
ProQuest	Ulrichsweb	http://aus.idm.oclc.org/login?url=https://ulrichsweb.serialssolutions.com/	1	Ulrichsweb is an easy to search source of detailed information on more than 300,000 periodicals (also called serials) of all types. Includes links to journals available from the AUS Library and to Journal Citation Index.		 Library Tools	12104822
Research Professional	Research Professional	http://aus.idm.oclc.org/login?url=http://www.researchprofessional.com	1	Research Professional is an online database of research funding opportunities and a source of international research policy and practice news. Provided by the Office of Research and Graduate Studies.		 Library Tools	40975046
Highwire Press	Sage Publications Front File	http://aus.idm.oclc.org/login?url=http://journals.sagepub.com/	1	Founded in 1965, SAGE is a leading independent, academic and professional publisher of innovative, high-quality content.			
Highwire Press	SAGE Publications	http://aus.idm.oclc.org/login?url=http://journals.sagepub.com/	1	Founded in 1965, SAGE is a leading independent, academic and professional publisher of innovative, high-quality content.			
Highwire Press	SAGE Deep Backfile 2013	http://aus.idm.oclc.org/login?url=http://journals.sagepub.com/	1	Founded in 1965, SAGE is a leading independent, academic and professional publisher of innovative, high-quality content.			
American Association for the Advancement of Science	Science Magazine (American Association for the Advancement of Science)	http://aus.idm.oclc.org/login?url=http://www.aaas.org	1	Science is one of the world's leading outlets for scientific news, commentary, and cutting-edge research. Science Online provides the full text of the journal's news stories, research reports, and commentary articles in a searchable database, enhanced by additional information, links, multimedia, and user services, as well as a database of scientific-product information.		 Sciences	12104701
American Chemical Society	SciFinder Scholar	http://aus.idm.oclc.org/login?url=https://scifinder.cas.org	1	[Abstract-only] SciFinder Scholar is a research discovery tool that allows college students and faculty to explore the CAS databases containing a wide diversity of research from many scientific disciplines, including biomedical sciences, chemistry, engineering, material science, agricultural science, and more. Users must now register online using their AUS email ID before they can access the web version of SciFinder Scholar. Users also have access to CASDraw to draw compounds when searching via Explore Substances or Explore Reactions.		 Sciences; Engineering	12104730
SHERPA RoMEO	SHERPA RoMEO	http://www.sherpa.ac.uk/romeo/index.php	0	SHERPA RoMEO is an online resource that aggregates and analyses publisher open access policies from around the world and provides summaries of self-archiving permissions and conditions of rights given to authors on a journal-by-journal basis.			
Society for Industrial and Applied Mathematics	SIAM Journals	http://aus.idm.oclc.org/login?url=http://epubs.siam.org/	1	For more than 50 years, SIAM books have been a leading source of knowledge for the world’s applied mathematics and computational science communities. 			
SpringerLink	Springer Biomedical and Life Sciences eBooks 2016 English+International	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Springer is a leading global scientific, technical and medical portfolio, providing researchers in academia, scientific institutions and corporate R&D departments with quality content through innovative information, products and services.			
SpringerLink	Springer Palgrave Political & Intern. Studies Collection 2009	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Business & Management Collection 2010	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Language & Linguistics Collection 2015	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave History Collection 2005	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Business & Management Collection 2009	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Literature & Performing Arts Collection 2014	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Social & Cultural Studies Collection 2012	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Social Sciences Collection 2011	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Religion & Philosophy Collection 2015	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Business and Management eBooks 2017 English+International	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Springer is a leading global scientific, technical and medical portfolio, providing researchers in academia, scientific institutions and corporate R&D departments with quality content through innovative information, products and services.			
SpringerLink	Springer Palgrave Business & Management Collection 2007	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Business & Management Collection 2013	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Economics & Finance Collection 2005	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Education Collection 2010	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer English/International eBooks 2015 - Full Set	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Springer is a leading global scientific, technical and medical portfolio, providing researchers in academia, scientific institutions and corporate R&D departments with quality content through innovative information, products and services.			
SpringerLink	Springer Energy eBooks 2017 English+International	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Springer is a leading global scientific, technical and medical portfolio, providing researchers in academia, scientific institutions and corporate R&D departments with quality content through innovative information, products and services.			
SpringerLink	Springer Computer Science eBooks 2017 English+International	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Springer is a leading global scientific, technical and medical portfolio, providing researchers in academia, scientific institutions and corporate R&D departments with quality content through innovative information, products and services.			
SpringerLink	Springer Palgrave Media & Culture Collection 2009	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Social Sciences Collection 2005	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Literature & Performing Arts Collection 2012	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
SpringerLink	Springer Palgrave Intern. Relations & Development Collection 2013	http://aus.idm.oclc.org/login?url=http://link.springer.com/search?facet-content-type=Book	1	Palgrave Macmillan is a global academic and business publisher for the Humanities and Social Sciences (HSS). Palgrave Macmillan is part of the newly formed Springer Nature, the world’s largest academic book publisher, publisher of the world’s highest impact journals and a pioneer in the field of open research.			
